,degs,clos,betw,eigen
entrez gene/locuslink:855575,0.0398,0.3021,0.0004,0.0053
entrez gene/locuslink:853062,0.0265,0.2789,0.0003,0.0018
entrez gene/locuslink:850981,0.0199,0.2637,0.0002,0.0013
entrez gene/locuslink:856848,0.1305,0.3263,0.004,0.0156
entrez gene/locuslink:853479,0.1217,0.3164,0.0049,0.0091
entrez gene/locuslink:856128,0.0155,0.3006,0.0002,0.0052
entrez gene/locuslink:852948,0.0044,0.2491,0.0,0.0003
entrez gene/locuslink:853854,0.0133,0.2835,0.0002,0.0024
entrez gene/locuslink:856163,0.0044,0.2304,0.0,0.0001
entrez gene/locuslink:856657,0.0155,0.2743,0.0002,0.0025
entrez gene/locuslink:850383,0.0199,0.2661,0.0001,0.0011
entrez gene/locuslink:856159,0.0752,0.311,0.001,0.0304
entrez gene/locuslink:853599,0.0177,0.2542,0.0001,0.0017
entrez gene/locuslink:850995,0.031,0.2731,0.0006,0.0016
entrez gene/locuslink:855139,0.0133,0.2571,0.0003,0.0013
entrez gene/locuslink:852555,0.0111,0.2802,0.0001,0.0029
entrez gene/locuslink:853985,0.0354,0.3003,0.0004,0.0064
entrez gene/locuslink:855511,0.0243,0.2743,0.0001,0.0029
entrez gene/locuslink:853715,0.0597,0.315,0.002,0.0182
entrez gene/locuslink:854678,0.0111,0.2171,0.0004,0.0001
entrez gene/locuslink:854765,0.0332,0.2953,0.0007,0.0036
entrez gene/locuslink:852435,0.0155,0.2993,0.0001,0.0064
entrez gene/locuslink:853595,0.0133,0.2609,0.0001,0.0005
entrez gene/locuslink:850771,0.0354,0.2957,0.0004,0.0094
entrez gene/locuslink:853388,0.104,0.3216,0.003,0.0132
entrez gene/locuslink:856069,0.0354,0.2986,0.0002,0.0077
entrez gene/locuslink:856709,0.0929,0.3327,0.0029,0.0266
entrez gene/locuslink:850508,0.0155,0.2661,0.0,0.0017
entrez gene/locuslink:854120,0.0111,0.2891,0.0001,0.0033
entrez gene/locuslink:854065,0.0465,0.3005,0.0005,0.025
entrez gene/locuslink:856491,0.0022,0.2311,0.0,0.0006
entrez gene/locuslink:851021,0.0066,0.259,0.0,0.0017
entrez gene/locuslink:855201,0.0973,0.356,0.0032,0.0504
entrez gene/locuslink:852897,0.0398,0.3092,0.0008,0.0074
entrez gene/locuslink:851389,0.0354,0.3011,0.0002,0.0087
entrez gene/locuslink:855890,0.0155,0.288,0.0001,0.0039
entrez gene/locuslink:854662,0.1416,0.345,0.0035,0.0553
entrez gene/locuslink:851401,0.0177,0.2736,0.0001,0.0032
entrez gene/locuslink:852431,0.0265,0.3158,0.0004,0.0141
entrez gene/locuslink:852705,0.0088,0.2645,0.0,0.0019
entrez gene/locuslink:851935,0.0664,0.3104,0.0009,0.01
entrez gene/locuslink:851754,0.031,0.302,0.0007,0.005
